batch_size,nvgraph-st,nvgraph-it,monoomp-st,monoomp-it,monoomp-dt,monocuda-st,monocuda-it,monocuda-dt,levlomp-st,levlomp-it,levlomp-dt,levlcuda-st,levlcuda-it,levlcuda-dt,hypr-dt,hypr-puregpu,hypr-purecpu
500,695.8556000000001,162.7258,3384.1579999999994,255.96779999999998,281.68919999999997,299.0548,11.0756,11.459399999999999,4148.134,213.18359999999998,198.0922,419.5772,19.0186,18.7642,4.42,5.8,289.12
1000,695.3082,216.46180000000004,3454.5168000000003,243.4386,297.04699999999997,294.2028,9.3784,9.6058,4056.3599999999997,242.95440000000002,213.2228,402.0708,17.324599999999997,17.2122,9.98,12.3,334.45
2000,694.5944,222.5396,3254.3893999999996,280.1483999999999,306.3232,294.0194,12.2994,12.501,4319.6638,265.5154,283.5564,404.8374,19.183799999999998,19.049,21.22,26.7,413.63
5000,695.447,300.35240000000005,3277.5266,438.07640000000004,469.1262,306.98400000000004,22.5548,23.8764,4029.1212,318.963,305.0004,409.7526,27.2574,27.1048,54.48,61.3,6873.33
10000,694.9984000000001,310.916,3554.1009999999997,455.9552,496.5959999999999,311.343,30.9914,32.0064,4150.0578000000005,393.64040000000006,382.53280000000007,397.7408,32.5846,32.767,74.43,81.3,7234.13
