batch_size,nvgraph-st,nvgraph-it,monoomp-st,monoomp-it,monoomp-dt,monocuda-st,monocuda-it,monocuda-dt,levlomp-st,levlomp-it,levlomp-dt,levlcuda-st,levlcuda-it,levlcuda-dt,hypr-dt,hypr-puregpu,hypr-purecpu
500,24.531,12.5406,80.07600000000001,13.544400000000001,13.841,5.093999999999999,0.7312,0.7348000000000001,78.23519999999999,17.3022,15.673000000000002,5.0944,0.7305999999999999,0.7417999999999999,0.7,1.3,165.55
1000,24.4706,13.330000000000002,146.22920000000002,27.765800000000002,29.1586,5.0976,0.7298,0.7298,158.8364,17.246000000000002,15.353399999999999,5.1882,0.7466,0.7404,0.8,1.2,345.55
2000,25.2328,14.5428,77.6482,27.441000000000003,18.3656,5.165000000000001,0.7406,0.7404,77.2938,17.531599999999997,23.159399999999998,5.240799999999999,0.7532,0.757,1,1.8,464.43
5000,24.698999999999998,16.1614,219.74,34.3362,22.5978,5.015599999999999,0.7192000000000001,0.7193999999999999,165.8724,44.64019999999999,40.075,5.1466,0.7462000000000001,0.7318,1.2,2.2,623.47
10000,26.0062,17.5268,78.4946,25.2816,25.731599999999997,5.0984,0.7303999999999999,0.7308,77.5768,25.816399999999998,25.192999999999998,5.2232,0.7626000000000001,0.7598,1.3,2.6,732.22
