batch_size,nvgraph-st,nvgraph-it,monoomp-st,monoomp-it,monoomp-dt,monocuda-st,monocuda-it,monocuda-dt,levlomp-st,levlomp-it,levlomp-dt,levlcuda-st,levlcuda-it,levlcuda-dt,hypr-dt,hypr-puregpu,hypr-purecpu
500,24.448,15.3066,48.35680000000001,8.6112,10.7078,1.1762000000000001,0.1572,0.156,41.0796,8.1012,8.1046,2.2692,0.2512,0.2476,0.3,1.1,22.34
1000,24.4112,16.0838,48.869600000000005,10.5852,10.8968,1.1736,0.1312,0.132,42.069,11.3042,11.103,2.3032000000000004,0.2538,0.2484,0.3,1.2,31.35
2000,24.5702,17.519399999999997,51.21759999999999,12.103,13.7032,1.1692,0.15760000000000002,0.1572,40.8296,14.985,14.5952,2.2001999999999997,0.2732,0.2684,0.7,1.2,56.63
5000,24.431,18.7566,50.136799999999994,15.610800000000001,18.5994,1.1736,0.21020000000000003,0.2098,38.3116,21.3302,20.8906,2.2864000000000004,0.2932,0.28700000000000003,0.8,2.1,74.43
10000,24.321199999999997,20.0696,49.4362,19.9324,22.1096,1.1772000000000002,0.28880000000000006,0.29500000000000004,38.0244,25.1158,25.688,2.3122,0.3224,0.3116,1.1,2.4,101.23
