batch_size,nvgraph-st,nvgraph-it,monoomp-st,monoomp-it,monoomp-dt,monocuda-st,monocuda-it,monocuda-dt,levlomp-st,levlomp-it,levlomp-dt,levlcuda-st,levlcuda-it,levlcuda-dt,hypr-dt,hypr-puregpu,hypr-purecpu
500,14.4462,9.367799999999999,25.343600000000002,7.513800000000001,7.6792,1.6778,0.40360000000000007,0.4034,21.16,6.2268,6.4006,1.834,0.4984,0.48279999999999995,0.5,1.1,665.53
1000,14.512,10.029,26.405,8.437999999999999,8.1528,1.6898,0.323,0.32220000000000004,21.34,6.8792,6.7388,1.8704,0.4396,0.4224,0.6,1.1,734.43
2000,14.447399999999998,10.829000000000002,66.8266,10.7394,10.7858,1.6687999999999998,0.5684,0.5708,21.488,9.4438,7.6293999999999995,1.8558,0.5746,0.5468,1.1,2.1,1443.76
5000,14.761599999999998,11.432399999999998,28.8572,11.024,16.3236,1.637,0.42219999999999996,0.42119999999999996,27.9466,9.208,8.262,1.7521999999999998,0.5622,0.5474,1.8,2.2,1883.32
10000,14.419999999999998,11.4474,25.0132,12.782,11.1522,1.6642,0.4138,0.4478,56.16120000000001,8.4208,8.5378,1.8015999999999999,0.6022000000000001,0.5944,4.2,2.8,2235.12
