batch_size,nvgraph-st,nvgraph-it,monoomp-st,monoomp-it,monoomp-dt,monocuda-st,monocuda-it,monocuda-dt,levlomp-st,levlomp-it,levlomp-dt,levlcuda-st,levlcuda-it,levlcuda-dt,hypr-dt,hypr-puregpu,hypr-purecpu
500,962.5044,254.262,5634.9192,910.9309999999999,953.9042,638.6914,30.708,30.522000000000002,4894.3738,527.802,494.7556000000001,494.29220000000004,34.9428,34.3634,10.13,11.22,665.52
1000,975.4296000000002,268.81260000000003,5384.3166,958.9288,896.4345999999999,637.9154,34.924,34.867,4526.911399999999,548.028,553.861,495.81180000000006,33.558800000000005,33.6642,23.32,28.86,856.66
2000,972.3372000000002,333.8486,5139.099799999999,957.3219999999999,974.2843999999999,640.0802,38.928000000000004,40.4378,4346.812,583.3936,574.463,492.8522000000001,35.949400000000004,36.0704,64.43,68.86,1104.44
5000,963.1038000000001,414.1064,4930.9021999999995,1032.0858,1031.1047999999998,632.2755999999999,50.866600000000005,51.33839999999999,4483.8334,678.9078,717.7804,627.7834,41.2258,40.9542,77.65,85.56,1363.23
10000,975.6406000000001,407.36719999999997,4773.355799999999,1032.9906,1079.2662,640.376,63.81080000000001,64.7748,4391.4848,716.0237999999999,685.6673999999999,630.1344000000001,58.4716,57.77380000000001,106.65,124.45,1668.83
