batch_size,nvgraph-st,nvgraph-it,monoomp-st,monoomp-it,monoomp-dt,monocuda-st,monocuda-it,monocuda-dt,levlomp-st,levlomp-it,levlomp-dt,levlcuda-st,levlcuda-it,levlcuda-dt,hypr-dt,hypr-puregpu,hypr-purecpu
500,7.5494,5.7864,12.438999999999998,7.126,6.0292,0.9634,0.5942000000000001,0.6028,8.864799999999999,2.5724,2.6896,2.858,0.9782,0.9712,0.6,1.1,7.7
1000,7.8786000000000005,5.865399999999999,12.0128,5.628400000000001,5.0822,0.9882,0.5134000000000001,0.5192,8.8886,3.0592,2.9856,2.907,1.0577999999999999,1.0354,1.2,2.2,7.8
2000,7.715000000000001,6.0906,12.407,6.393599999999999,6.1134,1.0338,0.619,0.6388,9.2334,3.3247999999999998,3.3098,3.0326,1.2152,1.2167999999999999,1.8,2.5,8.34
5000,8.113600000000002,6.676399999999999,10.3338,6.2076,7.0738,1.0074,0.6694,0.7258000000000001,9.176800000000002,3.8689999999999998,4.0632,3.1466000000000003,1.4518,1.4612,4.2,6.4,11.12
10000,7.512600000000001,6.5122,12.5518,7.438599999999999,7.146600000000001,0.9960000000000001,0.6576,0.7213999999999998,10.104800000000001,4.7522,5.026999999999999,3.2448,1.7318000000000002,1.7052,5.1,7.3,13.34
