batch_size,nvgraph-st,nvgraph-it,monoomp-st,monoomp-it,monoomp-dt,monocuda-st,monocuda-it,monocuda-dt,levlomp-st,levlomp-it,levlomp-dt,levlcuda-st,levlcuda-it,levlcuda-dt,hypr-dt,hypr-puregpu,hypr-purecpu
500,15.163,37.9578,71.0218,25.668200000000002,5.8936,6.4378,1.9354,0.6984,92.4836,12.784999999999998,2.686,19.9112,1.5310000000000001,1.0382000000000002,1.1,1.5,345.54
1000,15.3488,43.61,73.5932,39.233000000000004,11.507,6.3768,2.0460000000000003,0.9456,86.2576,13.846799999999998,3.5948,20.742200000000004,1.6596,1.2286,1.4,1.7,456.3
2000,15.148800000000003,44.1894,72.1776,40.093599999999995,15.1918,6.449600000000001,2.1916,1.2114,85.5076,15.9566,4.5734,21.2372,1.9969999999999999,1.6128,3.1,4.8,1156.67
5000,15.829399999999998,46.3416,65.95160000000001,47.831199999999995,24.141,6.3782000000000005,2.2903999999999995,1.5732,77.572,14.480200000000002,7.1251999999999995,27.6518,3.0856000000000003,2.8354,6.3,8.3,4532.23
10000,16.835600000000003,50.000600000000006,80.0968,70.2962,38.1834,6.3898,2.5561999999999996,1.9739999999999998,69.8566,15.859200000000001,11.519,32.0734,4.3716,4.1209999999999996,8.4,11.34,8994.43
