batch_size,nvgraph-st,nvgraph-it,monoomp-st,monoomp-it,monoomp-dt,monocuda-st,monocuda-it,monocuda-dt,levlomp-st,levlomp-it,levlomp-dt,levlcuda-st,levlcuda-it,levlcuda-dt,hypr-dt,hypr-puregpu,hypr-purecpu
500,4.0363999999999995,4.7589999999999995,16.951,22.2834,4.021,0.7914,0.6056,0.4076000000000001,31.2,3.1990000000000003,3.343,55.289,3.7324000000000006,3.7958000000000007,3.2,5.8,7.8
1000,4.2194,5.1866,15.997800000000002,24.819,5.583800000000001,0.8046000000000001,0.7208,0.49660000000000004,29.9082,3.9936,4.1634,55.5804,7.352000000000001,7.2909999999999995,7.5,9.3,9.4
2000,4.3911999999999995,6.1956,15.209799999999998,29.685399999999998,8.145199999999999,0.7924,1.0704,0.7678,28.398000000000003,5.0778,4.8978,48.0074,7.0142,7.166200000000001,16.6,18.33,12.23
5000,4.2628,6.959799999999999,15.922,33.925200000000004,15.213600000000003,0.804,1.6122000000000003,1.4968,29.205399999999997,7.668200000000001,7.3588,64.338,15.6238,15.264199999999997,23.33,26.66,21.33
10000,4.355600000000001,7.568,15.7446,36.8352,23.1844,0.8048,1.8413999999999997,1.7662,29.483600000000003,10.3148,9.3988,58.8686,20.5034,20.588600000000003,36.65,41.25,782.34
