batch_size,nvgraph-st,nvgraph-it,monoomp-st,monoomp-it,monoomp-dt,monocuda-st,monocuda-it,monocuda-dt,levlomp-st,levlomp-it,levlomp-dt,levlcuda-st,levlcuda-it,levlcuda-dt,hypr-dt,hypr-puregpu,hypr-purecpu
500,1153.0974,289.5378,5986.698400000001,1189.7505999999998,1168.413,606.7038,26.9718,25.3428,7627.3242,765.4764,706.9292,688.7466000000001,30.278999999999996,30.0302,18.36,23.34,1014.21
1000,1153.4027999999998,283.18240000000003,5913.3808,1076.2276,989.9324,537.117,20.8998,20.1376,7378.389999999999,720.4942,755.7568,672.6748,25.907400000000003,25.735599999999998,46.67,53.32,1156.83
2000,1154.4181999999998,474.55039999999997,6351.476,1291.3201999999999,1302.7433999999998,580.656,62.714200000000005,59.4362,6848.366399999999,865.1117999999999,874.3928,676.6432,51.8184,51.2586,58.87,66.65,1764.82
5000,1153.3546000000001,516.7232,5453.722400000001,987.634,1082.993,512.6502,42.7258,46.4136,7454.8658,696.6782000000001,700.9444,683.3734000000001,43.822,43.655800000000006,98.32,108.87,2055.12
10000,1154.2256000000002,502.4662,5603.116800000001,1142.2800000000002,1161.7238,538.4598,75.40440000000001,80.39439999999999,7010.5070000000005,829.1374,1144.4553999999998,710.55,56.471000000000004,56.278800000000004,185.43,203.56,2553.32
