graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","5","22.6","40.2","1.0268000000000002","45.2","7.339760000000001e-7","pagerankMonolithic [static]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","5","22.6","40.2","0.9751999999999998","43","8.0624e-7","pagerankMonolithic [dynamic]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","5","22.6","40.2","1.0306","45.2","7.339760000000001e-7","pagerankLevelwise [static]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","5","22.6","40.2","0.9832000000000001","41","8.08848e-7","pagerankLevelwise [dynamic]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","10","23.4","45.6","4.2638","0","0","pagerankNvgraph [static]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","10","23.4","45.6","4.6368","0","0.0000017631935999999998","pagerankNvgraph [dynamic]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","10","23.4","45.6","1.0894","48","0.0000014094688000000001","pagerankMonolithic [static]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","10","23.4","45.6","1.1687999999999998","51.4","0.0000035902399999999998","pagerankMonolithic [dynamic]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","10","23.4","45.6","1.0896000000000001","48","0.0000014094688000000001","pagerankLevelwise [static]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","10","23.4","45.6","1.172","51.4","0.0000035902399999999998","pagerankLevelwise [dynamic]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","1","6.2","12","2.707","0","0","pagerankNvgraph [static]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","1","6.2","12","3.1662","0","0.000001193578","pagerankNvgraph [dynamic]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","1","6.2","12","0.7150000000000001","31.8","4.14996e-7","pagerankMonolithic [static]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","1","6.2","12","0.8373999999999999","37.2","0.000001640616","pagerankMonolithic [dynamic]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","1","6.2","12","0.7206","31.8","4.14996e-7","pagerankLevelwise [static]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","1","6.2","12","0.85","31","0.0000018499839999999998","pagerankLevelwise [dynamic]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","5","7","15.4","3.4156000000000004","0","0","pagerankNvgraph [static]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","5","7","15.4","4.1816","0","0.0000020645460000000003","pagerankNvgraph [dynamic]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","5","7","15.4","0.9112","40.4","5.304822e-7","pagerankMonolithic [static]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","5","7","15.4","1.0982","48.8","0.00000293033","pagerankMonolithic [dynamic]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","5","7","15.4","0.9116","40.4","5.304822e-7","pagerankLevelwise [static]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","5","7","15.4","1.0984","48.8","0.00000293033","pagerankLevelwise [dynamic]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","10","7","18","2.2399999999999998","0","0","pagerankNvgraph [static]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","10","7","18","2.1566","0","2.2016320000000002e-7","pagerankNvgraph [dynamic]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","10","7","18","0.5824","25.8","1.773248e-7","pagerankMonolithic [static]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","10","7","18","0.5653999999999999","25","2.4363419999999995e-7","pagerankMonolithic [dynamic]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","10","7","18","0.5845999999999999","25.8","1.773248e-7","pagerankLevelwise [static]"
"min-NvgraphEx","6","10","0.37","17","0","pagerankMonolithic","10","7","18","0.5644","25","2.4363419999999995e-7","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1","281903.4","2312670.4","11.592400000000001","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1","281903.4","2312670.4","1.502","0","8.23682e-7","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1","281903.4","2312670.4","9.577","63","6.88866e-7","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1","281903.4","2312670.4","0.3336","1.6","0.00000166314","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1","281903.4","2312670.4","8.7018","63","6.88866e-7","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1","281903.4","2312670.4","0.7902","0.6","0.000001294058","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5","281905","2312674.8","11.7614","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5","281905","2312674.8","3.2328","0","0.000001144768","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5","281905","2312674.8","10.1022","63","6.980659999999999e-7","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5","281905","2312674.8","1.5866","9.4","0.00000273634","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5","281905","2312674.8","9.2604","63","6.980659999999999e-7","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5","281905","2312674.8","1.5968","7.6","0.0000023025","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10","281905.4","2312679.8","11.748800000000001","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10","281905.4","2312679.8","4.6068","0","0.000001300328","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10","281905.4","2312679.8","10.1122","63","7.093959999999999e-7","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10","281905.4","2312679.8","2.4196","14.6","0.00000443932","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10","281905.4","2312679.8","9.2458","63","7.093959999999999e-7","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10","281905.4","2312679.8","2.3364000000000003","11.6","0.0000038089399999999995","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50","281913","2312724.2","11.734","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50","281913","2312724.2","4.6422","0","0.00000199298","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50","281913","2312724.2","10.110600000000002","63","7.00926e-7","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50","281913","2312724.2","3.1821999999999995","19.4","0.0000045988","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50","281913","2312724.2","9.266","63","7.00926e-7","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50","281913","2312724.2","3.0972","16","0.0000036746200000000005","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100","281920.4","2312778.8","11.7304","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100","281920.4","2312778.8","5.6784","0","0.0000021844999999999996","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100","281920.4","2312778.8","10.1388","63","7.176520000000001e-7","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100","281920.4","2312778.8","4.1384","25.4","0.00000467292","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100","281920.4","2312778.8","9.23","63","7.176520000000001e-7","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100","281920.4","2312778.8","3.9361999999999995","21","0.0000038633200000000005","pagerankLevelwise [dynamic]"
